dataset_label;link_immometrica;id;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;score_vor_malus;liquiditaets_malus;score_final;klasse;agent_decision;exclusion_reason;risk_level;next_step
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23307683;HANNOVER_57000_20250521;Hannover;Ihmeplatz 6, 30449 Hannover;Gepflegte, vermietete 2 Zimmer Whg.;57000;61.57;13.9;406;84;-30;54;❌ AUSSCHLIESSEN;Ausschließen;"Altinserat-Renditefalle / stark prüfen; ⚠️ CLUSTER gleiche Straße + PLZ; Score final <55";🟡 PRÜFEN;"Altinserat-Renditefalle prüfen; nur bei plausibler Erklärung/Preisnachlass weiterverfolgen."
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27561893;HANNOVER_75000_20260608;Linden-Mitte;30449 Hannover - Linden-Limmer 30449 Hannover - Linden-Limmer;Ihr neues IMMOBILIEN QUARTIER: Gepflegte & gut vermietete 2-Zimmer Wohnung im Ihmezentrum;75000;64.08;12;23;66;-5;61;⚠️ NUR MIT RÜCKFRAGEN;Rückfragen;UNVOLLSTÄNDIG / RÜCKFRAGEN: Miete fehlt/0, Hausgeld > 4,50 €/m² (5.09);🟡 PRÜFEN;Rückfragen klären: Miete, Hausgeld-Aufteilung, WEG-Protokolle, Rücklage, Sonderumlagen, Sanierungsstatus.
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27041063;HANNOVER_48000_20260424;Linden-Nord;Ottenstraße 10a, 30451 Linden-Nord, Hannover;1,5- Zimmer-Wohnung - vermietet - für Visionäre;48000;43;13.5;68;56;-15;41;❌ AUSSCHLIESSEN;Ausschließen;"BLOCKER: ROI >10 % und Hausgeld >6 €/m²; Hausgeld > 4,50 €/m² (11.53); Sanierungs-/Renovierungsrisiko; Score final <55";🔴 BLOCKER;"Nicht priorisieren; nur bei starkem Preisabschlag und vollständigen WEG-Unterlagen erneut prüfen."
20260701_offers_Hannover;https://www.immometrica.com/de/offer/22840770;HANNOVER_75000_20250404;Linden-Mitte;Am Ihmeufer 3, 30449 Hannover;Ihr neues IMMOBILIEN QUARTIER: Gepflegte & gut vermietete 2-Zimmer Wohnung im Ihmezentrum;75000;64.1;12.2;453;70;-30;40;❌ AUSSCHLIESSEN;Ausschließen;"Hausgeld > 4,50 €/m² (5.09); Altinserat-Renditefalle / stark prüfen; Score final <55";🟡 PRÜFEN;"Altinserat-Renditefalle prüfen; nur bei plausibler Erklärung/Preisnachlass weiterverfolgen."
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27786509;SPRINGE_62500_20260630;Bennigsen;Süllbergring, 31832 Springe-Bennigsen;Suburban, naturnah leben: 2-Zi.-Whg in Bennigsen – Private Wohngenossenschaft;62500;49;9.9;1;53;0;53;❌ AUSSCHLIESSEN;Ausschließen;"Miete fehlt/0; Hausgeld > 4,50 €/m² (16.00); ⚠️ CLUSTER gleiche Straße + PLZ; Score final <55";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27617639;HANNOVER_110000_20260615;Hannover;30657 Hannover;2-Zimmer-Wohnung mit wunderschönem Panoramablick;110000;61;8.9;16;61;-5;56;⚠️ NUR MIT RÜCKFRAGEN;Rückfragen;UNVOLLSTÄNDIG / RÜCKFRAGEN: Miete fehlt/0, Sanierungs-/Renovierungsrisiko;🟡 PRÜFEN;Rückfragen klären: Miete, Hausgeld-Aufteilung, WEG-Protokolle, Rücklage, Sonderumlagen, Sanierungsstatus.
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27792321;SPRINGE_62500_20260629;Springe;Süllbergring, 31832 Springe-Bennigsen (Bennigsen);Suburban, naturnah leben: 2-Zi.-Whg in Bennigsen - Private Wohngenossenschaft;62500;49.1;9.9;2;53;0;53;❌ AUSSCHLIESSEN;Ausschließen;"Miete fehlt/0; Hausgeld > 4,50 €/m² (15.97); ⚠️ CLUSTER gleiche Straße + PLZ; Score final <55";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26248930;HANNOVER_134000_20260217;Bemerode;Bindingweg 1, 30559 Bemerode, Hannover;Bemerode, Bindingweg, vermietete 2 Zi-ETW, 62 m², Balkon mit Fernblick,  7. OG, Stellplatz;134000;62;6.9;134;49;-15;34;❌ AUSSCHLIESSEN;Ausschließen;"Hausgeld > 4,50 €/m² (6.87); Score final <55";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.
20260701_offers_Hannover;https://www.immometrica.com/de/offer/16526363;HANNOVER_99000_20230629;List;Hinrichsring 12, 30177 Hannover;Hinrichsring: Vermietete 2-Zimmer-Wohnung mit Balkon nähe Mittellandkanal;99000;66;8.5;1098;59;-30;29;❌ AUSSCHLIESSEN;Ausschließen;"Hausgeld > 4,50 €/m² (7.21); Altinserat-Renditefalle / stark prüfen; ⚠️ CLUSTER gleiche Straße + PLZ; Score final <55";🟡 PRÜFEN;"Altinserat-Renditefalle prüfen; nur bei plausibler Erklärung/Preisnachlass weiterverfolgen."
20260701_offers_Hannover;https://www.immometrica.com/de/offer/27442996;LAATZEN_146000_20260530;Alt-Laatzen;Otto-Hahn-Str. 30, 30880 Laatzen;Attraktiv mit viel Potenzial;146000;75;7.1;32;58;-5;53;❌ AUSSCHLIESSEN;Ausschließen;"Hausgeld fehlt; Maklerhinweis Potenzial prüfen; ⚠️ CLUSTER gleiche Straße + PLZ; Score final <55";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.
